model,evaluated_users,sampled_negatives,hit_rate_at_10,map_at_10,ndcg_at_10,seed
popularity,6035,100,0.4896437448218724,0.20259800633868585,0.2696940278540021,11
content_based,6035,100,0.28533554266777134,0.14273293354900643,0.1756371672537386,11
itemknn,6035,100,0.6145816072908037,0.2636576320669103,0.34606123179942333,11
bpr_matrix_factorization,6035,100,0.4752278376139188,0.19434916689680576,0.25978551390871396,11
implicit_als,6035,100,0.2614747307373654,0.06640134927210313,0.11084194557356356,11
hybrid_score_blend,6035,100,0.46329743164871584,0.22471318104706625,0.28101381927857433,11
two_stage_hybrid_ranker,6035,100,0.5299088649544325,0.24063702476295662,0.30867090536651687,11
popularity,6035,100,0.49428334714167355,0.20397101563630138,0.2717133273839065,42
content_based,6035,100,0.2846727423363712,0.14421522599650197,0.1766246739335698,42
itemknn,6035,100,0.6137531068765535,0.2640942386344197,0.34591154259482804,42
bpr_matrix_factorization,6035,100,0.47655343827671914,0.19649471995370907,0.26184553097117785,42
implicit_als,6035,100,0.11483015741507871,0.028493707342091695,0.04800614426415207,42
hybrid_score_blend,6035,100,0.46859983429991714,0.2296983863968118,0.2861000054849504,42
two_stage_hybrid_ranker,6035,100,0.507705053852527,0.23968615615260133,0.3028678782486644,42
popularity,6035,100,0.4931234465617233,0.20138221485777388,0.2695232764138671,73
content_based,6035,100,0.283844241922121,0.14211898844044668,0.17494021037683585,73
itemknn,6035,100,0.6178956089478045,0.26492694730474237,0.34779484289690565,73
bpr_matrix_factorization,6035,100,0.47821043910521954,0.19227581173314387,0.2590357682234032,73
implicit_als,6035,100,0.26528583264291633,0.0678429399928985,0.11279151332789263,73
hybrid_score_blend,6035,100,0.4671085335542668,0.2252749174787284,0.2824227473182913,73
two_stage_hybrid_ranker,6035,100,0.5314001657000829,0.242159690167146,0.31040209906780125,73
