model,user_id,rank,item_id,title,genres,score
hybrid,1,1,2858,American Beauty (1999),Comedy|Drama,0.9289795160293579
hybrid,1,2,318,"Shawshank Redemption, The (1994)",Drama,0.8613401651382446
hybrid,1,3,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,0.8549657464027405
hybrid,1,4,34,Babe (1995),Children's|Comedy|Drama,0.8278546333312988
hybrid,1,5,593,"Silence of the Lambs, The (1991)",Drama|Thriller,0.827021598815918
hybrid,1,6,858,"Godfather, The (1972)",Action|Crime|Drama,0.7965134382247925
hybrid,1,7,296,Pulp Fiction (1994),Crime|Drama,0.7884923219680786
hybrid,1,8,110,Braveheart (1995),Action|Drama|War,0.7690116763114929
hybrid,1,9,1259,Stand by Me (1986),Adventure|Comedy|Drama,0.7614085078239441
hybrid,1,10,1968,"Breakfast Club, The (1985)",Comedy|Drama,0.7460917234420776
hybrid,2,1,858,"Godfather, The (1972)",Action|Crime|Drama,0.8838285207748413
hybrid,2,2,608,Fargo (1996),Crime|Drama|Thriller,0.8616092205047607
hybrid,2,3,527,Schindler's List (1993),Drama|War,0.8510407209396362
hybrid,2,4,296,Pulp Fiction (1994),Crime|Drama,0.8357796669006348
hybrid,2,5,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,0.8141962289810181
hybrid,2,6,1221,"Godfather: Part II, The (1974)",Action|Crime|Drama,0.8098162412643433
hybrid,2,7,1704,Good Will Hunting (1997),Drama,0.8004065752029419
hybrid,2,8,2959,Fight Club (1999),Drama,0.7774185538291931
hybrid,2,9,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,0.776121973991394
hybrid,2,10,1961,Rain Man (1988),Drama,0.7757758498191833
hybrid,3,1,1580,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,0.8545535206794739
hybrid,3,2,2028,Saving Private Ryan (1998),Action|Drama|War,0.7980807423591614
hybrid,3,3,2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,0.7668988704681396
hybrid,3,4,1270,Back to the Future (1985),Comedy|Sci-Fi,0.7659956216812134
hybrid,3,5,858,"Godfather, The (1972)",Action|Crime|Drama,0.7517355680465698
hybrid,3,6,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,0.7513184547424316
hybrid,3,7,2916,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,0.7463624477386475
hybrid,3,8,110,Braveheart (1995),Action|Drama|War,0.7444830536842346
hybrid,3,9,2396,Shakespeare in Love (1998),Comedy|Romance,0.7278833389282227
hybrid,3,10,457,"Fugitive, The (1993)",Action|Thriller,0.7219529151916504
hybrid,4,1,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,0.9610297083854675
hybrid,4,2,2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,0.9018263816833496
hybrid,4,3,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,0.89523845911026
hybrid,4,4,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,0.8770056962966919
hybrid,4,5,858,"Godfather, The (1972)",Action|Crime|Drama,0.8745701313018799
hybrid,4,6,457,"Fugitive, The (1993)",Action|Thriller,0.8545305132865906
hybrid,4,7,110,Braveheart (1995),Action|Drama|War,0.8389406800270081
hybrid,4,8,3578,Gladiator (2000),Action|Drama,0.8233673572540283
hybrid,4,9,1580,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,0.8215041756629944
hybrid,4,10,1291,Indiana Jones and the Last Crusade (1989),Action|Adventure,0.8202334046363831
hybrid,5,1,318,"Shawshank Redemption, The (1994)",Drama,0.8934526443481445
hybrid,5,2,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,0.869185745716095
hybrid,5,3,2028,Saving Private Ryan (1998),Action|Drama|War,0.8421303033828735
hybrid,5,4,858,"Godfather, The (1972)",Action|Crime|Drama,0.8388040065765381
hybrid,5,5,1193,One Flew Over the Cuckoo's Nest (1975),Drama,0.8265253305435181
hybrid,5,6,527,Schindler's List (1993),Drama|War,0.8236793279647827
hybrid,5,7,1259,Stand by Me (1986),Adventure|Comedy|Drama,0.8143380880355835
hybrid,5,8,1968,"Breakfast Club, The (1985)",Comedy|Drama,0.8110769987106323
hybrid,5,9,2804,"Christmas Story, A (1983)",Comedy|Drama,0.8055346012115479
hybrid,5,10,110,Braveheart (1995),Action|Drama|War,0.7967642545700073
hybrid,6,1,2858,American Beauty (1999),Comedy|Drama,0.8803513050079346
hybrid,6,2,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,0.844582200050354
hybrid,6,3,1265,Groundhog Day (1993),Comedy|Romance,0.843271017074585
hybrid,6,4,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,0.8199220299720764
hybrid,6,5,356,Forrest Gump (1994),Comedy|Romance|War,0.7951869964599609
hybrid,6,6,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,0.7936108112335205
hybrid,6,7,2028,Saving Private Ryan (1998),Action|Drama|War,0.7895181179046631
hybrid,6,8,1307,When Harry Met Sally... (1989),Comedy|Romance,0.7889489531517029
hybrid,6,9,919,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,0.7673839330673218
hybrid,6,10,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,0.7606008052825928
hybrid,7,1,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,0.9234878420829773
hybrid,7,2,1198,Raiders of the Lost Ark (1981),Action|Adventure,0.8996055722236633
hybrid,7,3,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller,0.8857081532478333
hybrid,7,4,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,0.866912841796875
hybrid,7,5,1214,Alien (1979),Action|Horror|Sci-Fi|Thriller,0.8382123708724976
hybrid,7,6,1036,Die Hard (1988),Action|Thriller,0.8371027708053589
hybrid,7,7,1200,Aliens (1986),Action|Sci-Fi|Thriller|War,0.8246550559997559
hybrid,7,8,858,"Godfather, The (1972)",Action|Crime|Drama,0.8224883079528809
hybrid,7,9,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,0.8068715333938599
hybrid,7,10,593,"Silence of the Lambs, The (1991)",Drama|Thriller,0.7932343482971191
hybrid,8,1,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,0.9298838973045349
hybrid,8,2,318,"Shawshank Redemption, The (1994)",Drama,0.9232628345489502
hybrid,8,3,593,"Silence of the Lambs, The (1991)",Drama|Thriller,0.9191741347312927
hybrid,8,4,858,"Godfather, The (1972)",Action|Crime|Drama,0.8812929391860962
hybrid,8,5,1193,One Flew Over the Cuckoo's Nest (1975),Drama,0.864171028137207
hybrid,8,6,3578,Gladiator (2000),Action|Drama,0.8288210034370422
hybrid,8,7,1221,"Godfather: Part II, The (1974)",Action|Crime|Drama,0.8089125156402588
hybrid,8,8,1225,Amadeus (1984),Drama,0.8035422563552856
hybrid,8,9,912,Casablanca (1942),Drama|Romance|War,0.7945696115493774
hybrid,8,10,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,0.7937259078025818
hybrid,9,1,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,0.8954929113388062
hybrid,9,2,858,"Godfather, The (1972)",Action|Crime|Drama,0.8700205683708191
hybrid,9,3,296,Pulp Fiction (1994),Crime|Drama,0.859384298324585
hybrid,9,4,110,Braveheart (1995),Action|Drama|War,0.8237274289131165
hybrid,9,5,1193,One Flew Over the Cuckoo's Nest (1975),Drama,0.8220278024673462
hybrid,9,6,1259,Stand by Me (1986),Adventure|Comedy|Drama,0.7855772972106934
hybrid,9,7,2000,Lethal Weapon (1987),Action|Comedy|Crime|Drama,0.7830381989479065
hybrid,9,8,1968,"Breakfast Club, The (1985)",Comedy|Drama,0.7829384207725525
hybrid,9,9,2804,"Christmas Story, A (1983)",Comedy|Drama,0.7796695828437805
hybrid,9,10,3578,Gladiator (2000),Action|Drama,0.7795093059539795
hybrid,10,1,2858,American Beauty (1999),Comedy|Drama,0.9689657688140869
hybrid,10,2,1259,Stand by Me (1986),Adventure|Comedy|Drama,0.8350066542625427
hybrid,10,3,2028,Saving Private Ryan (1998),Action|Drama|War,0.82112717628479
hybrid,10,4,34,Babe (1995),Children's|Comedy|Drama,0.8052264451980591
hybrid,10,5,1968,"Breakfast Club, The (1985)",Comedy|Drama,0.7940793037414551
